"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"N/A"	"AL123456.3"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"N/A"	"AL123456.3"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"AL123456.3"	"16s rRNA with mutation conferring resistance to peptide antibiotics"	"peptide antibiotic"	"antibiotic target alteration"
"N/A"	"AL123456.3"	"23s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"CCP46621.1"	"AL123456.3"	"ethambutol resistant aftA"	"polyamine antibiotic"	"antibiotic target alteration"
"CCP45220.1"	"AL123456.3"	"isoniazid resistant ahpC"	"isoniazid"	"antibiotic target alteration"
"CCP45579.1"	"AL123456.3"	"cycloserine resistant ald"	"cycloserine"	"antibiotic target alteration"
"CCP46245.1"	"AL123456.3"	"cycloserine resistant alr"	"cycloserine"	"antibiotic target alteration"
"CCP46419.1"	"AL123456.3"	"pyrazinamide resistant clpC1"	"pyrazinamide"	"antibiotic target alteration"
"CCP45786.1"	"AL123456.3"	"cycloserine resistant ddlA"	"N/A"	"antibiotic target alteration"
"CCP44549.1"	"AL123456.3"	"fluoroquinolone resistant eccB5"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"CCP44550.1"	"AL123456.3"	"fluoroquinolone resistant eccC5"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"CCP45207.1"	"AL123456.3"	"kanamycin resistant eis"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"AFN51820.1"	"CP003248"	"ethambutol resistant embA"	"polyamine antibiotic"	"antibiotic target alteration"
"CCP46624.1"	"AL123456"	"ethambutol resistant embB"	"polyamine antibiotic"	"antibiotic target alteration"
"AAK48268.1"	"AE000516"	"rifamycin-resistant arabinosyltransferase"	"rifamycin antibiotic"	"antibiotic target alteration"
"AFN51819.1"	"CP003248"	"ethambutol resistant embC"	"N/A"	"antibiotic target alteration"
"CCP44023.1"	"AL123456.3"	"ethambutol resistant embR"	"N/A"	"antibiotic target alteration"
"NP_218371.1"	"NC_000962.3"	"isoniazid resistant ethA"	"N/A"	"antibiotic target alteration"
"NP_218371.1"	"NC_000962"	"perchlozone resistant ethA"	"perchlozone"	"antibiotic target alteration"
"NP_218371.1"	"NC_000962.3"	"prothionamide resistant ethA"	"prothionamide"	"antibiotic target alteration"
"AAK48336.1"	"AE000516.2"	"ethionamide resistant ethA"	"N/A"	"antibiotic target alteration"
"CCP44243.1"	"AL123456.3"	"Ethionamide resistant fabG1"	"ethionamide"	"antibiotic target alteration"
"CCP44243.1"	"AL123456.3"	"isoniazid resistant fabG1"	"isoniazid"	"antibiotic target alteration"
"CCP45240.1"	"AL123456.3"	"aminosalicylate resistant dihydrofolate synthase"	"para-aminosalicylic acid"	"antibiotic target alteration"
"CCP44676.1"	"AL123456.3"	"isoniazid resistant furA"	"isoniazid"	"antibiotic target alteration"
"CCP46748.1"	"AL123456"	"antibiotic resistant gidB"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"CCP45582.1"	"AL123456.3"	"pyrazinamide resistant gpsI"	"pyrazinamide"	"antibiotic target alteration"
"CCP42728.1"	"AL123456"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"CAA55486.1"	"X78888.1"	"fluoroquinolone resistant gyrB"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"CCP43004.1"	"AL123456.3"	"isoniazid resistant inbR"	"isoniazid"	"antibiotic target alteration"
"CCP44244.1"	"AL123456.3"	"inhA with mutations with conferring resistance to ethionamide"	"ethionamide"	"antibiotic target alteration"
"CCP44244.1"	"AL123456"	"isoniazid resistant inhA"	"N/A"	"antibiotic target alteration"
"CCP43072.1"	"AL123456"	"Ethambutol resistant iniA"	"polyamine antibiotic"	"antibiotic efflux;antibiotic target alteration"
"CCP43071.1"	"AL123456.3"	"Ethambutol resistant iniB"	"polyamine antibiotic"	"antibiotic efflux;antibiotic target alteration"
"CCP43073.1"	"AL123456"	"Ethambutol resistant iniC"	"polyamine antibiotic"	"antibiotic efflux;antibiotic target alteration"
"CCE36834"	"HE608151"	"antibiotic-resistant murA transferase"	"N/A"	"antibiotic target alteration"
"CCP45025.1"	"AL123456"	"antibiotic resistant kasA"	"N/A"	"antibiotic target alteration"
"CCP44675.1"	"AL123456.3"	"isoniazid resistant katG"	"isoniazid"	"antibiotic target alteration"
"CCP44675.1"	"AL123456.3"	"prothionamide resistant katG"	"prothionamide"	"antibiotic target alteration"
"CCP45743.1"	"AL123456.3"	"pyrazinamide resistant mas"	"pyrazinamide"	"antibiotic target alteration"
"CCP43386.1"	"AL123456.3"	"isoniazid resistant mmaA3"	"isoniazid"	"antibiotic target alteration"
"CCP43220.1"	"AL123456.3"	"isoniazid resistant mshA"	"isoniazid"	"antibiotic target alteration"
"NP_215000.1"	"NC_000962.3"	"prothionamide resistant mshA"	"prothionamide"	"antibiotic target alteration"
"CCP44905.1"	"AL123456.3"	"ethionamide resistant mshC"	"ethionamide"	"antibiotic target alteration"
"CCP44905.1"	"AL123456.3"	"isoniazid resistant mshC"	"isoniazid"	"antibiotic target alteration"
"NP_217599.1"	"NC_000962.3"	"isoniazid resistant mymA"	"isoniazid"	"antibiotic target alteration"
"CCP46388.1"	"AL123456.3"	"isoniazid resistant nat"	"isoniazid"	"antibiotic target alteration"
"CCP44620.1"	"AL123456.3"	"antibiotic resistant ndh"	"isoniazid"	"antibiotic target alteration"
"CCP46014.1"	"AL123456.3"	"ethionamide resistant nudC"	"ethionamide"	"antibiotic target alteration"
"CCP46014.1"	"AL123456.3"	"isoniazid resistant nudC"	"isoniazid"	"antibiotic target alteration"
"CCP44816.1"	"AL123456"	"pyrazinamide resistant pncA"	"pyrazinamide"	"antibiotic target alteration"
"CCP42772.1"	"AL123456.3"	"rifamycin resistant ponA1"	"rifamycin antibiotic"	"antibiotic target alteration"
"CCP45736.1"	"AL123456.3"	"antibiotic resistant polyketide synthase genes"	"pyrazinamide"	"antibiotic target alteration"
"CCP45737.1"	"AL123456.3"	"antibiotic resistant polyketide synthase genes"	"pyrazinamide"	"antibiotic target alteration"
"CCP45469.1"	"AL123456.3"	"aminosalicylate resistant dihydrofolate reductase"	"para-aminosalicylic acid"	"antibiotic target replacement"
"CCP46279.1"	"AL123456.3"	"rifampicin resistant rpoA"	"rifamycin antibiotic"	"antibiotic target alteration"
"CCP43410.1"	"AL123456.3"	"rifamycin-resistant beta-subunit of RNA polymerase (rpoB)"	"rifamycin antibiotic"	"antibiotic target alteration;antibiotic target replacement"
"CCP43411.1"	"AL123456.3"	"rifampicin resistant rpoC"	"rifamycin antibiotic"	"antibiotic target alteration"
"CCP44394.1"	"AL123456.3"	"pyrazinamide resistant rpsA"	"pyrazinamide"	"antibiotic target alteration"
"AAK44936.1"	"AE000516"	"antibiotic-resistant rpsL"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"CCP42918.1"	"AL123456.3"	"pyrazinamide resistant Rv0191"	"pyrazinamide"	"antibiotic target alteration"
"CCP43303.1"	"AL123456.3"	"Ethionamide resistant Rv0565c"	"ethionamide"	"antibiotic target alteration"
"CCP44432.1"	"AL123456.3"	"pyrazinamide resistant Rv1667"	"pyrazinamide"	"antibiotic target alteration"
"CCP45529.1"	"AL123456.3"	"pyrazinamide resistant Rv2731"	"pyrazinamide"	"antibiotic target alteration"
"CCP45980.1"	"AL123456.3"	"pyrazinamide resistant Rv3169"	"pyrazinamide"	"antibiotic target alteration"
"CCP43945.1"	"AL123456.3"	"isoniazid resistant sigI"	"isoniazid"	"antibiotic target alteration"
"CCP44014.1"	"AL123456.3"	"streptomycin resistant tap"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"CCP45563.1"	"AL123456.3"	"aminosalicylate resistant thymidylate synthase"	"para-aminosalicylic acid"	"antibiotic target alteration"
"AAK46002.1"	"AE000516"	"Antibiotic resistant tlyA"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"CCP46635.1"	"AL123456.3"	"ethambutol resistant ubiA"	"polyamine antibiotic"	"antibiotic target alteration"
"CDO45096.1"	"BX248333"	"ethambutol resistant embB"	"polyamine antibiotic"	"antibiotic target alteration"
"CAL71877.1"	"AM408590.1"	"antibiotic resistant ndh"	"isoniazid"	"antibiotic target alteration"
"CCP46011.1"	"AL123456.3"	"streptomycin resistant whib7"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"CCP46011.1"	"AL123456.3"	"kanamycin resistant whib7"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"N/A"	"CU458896.1"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"NC_010397.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"N/A"	"NR_114659.1"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"GU143889.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"N/A"	"NC_008596.1"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"NC_008596.1"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"N/A"	"NC_008596.1"	"16s rRNA with mutation conferring resistance to peptide antibiotics"	"peptide antibiotic"	"antibiotic target alteration"
"N/A"	"X52922.1"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"AB011184.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"AIU22003.1"	"CP009496.1"	"antibiotic resistant ndh"	"isoniazid"	"antibiotic target alteration"
"N/A"	"NC_021002.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"N/A"	"NC_004829.2"	"23S rRNA with mutation conferring resistance to pleuromutilin antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"L43967.2"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"N/A"	"antibiotic target alteration"
"AAC71220.1"	"L43967.2"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"WP_010869372.1"	"NC_000908.2"	"fluoroquinolone resistant parC"	"N/A"	"antibiotic target alteration"
"N/A"	"CP011538.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"N/A"	"antibiotic target alteration"
"AKJ52802.1"	"CP011538.1"	"fluoroquinolone resistant parC"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"N/A"	"NR_077056.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"N/A"	"antibiotic target alteration"
"BAA03674.1"	"D16099"	"non-erm 23S ribosomal RNA methyltransferase (G748)"	"lincosamide antibiotic;macrolide antibiotic"	"antibiotic target alteration"
"AAG07108.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAG06962.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"CAZ39946.1"	"FN396876"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AGT37351.1"	"KF361506"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AJE61443.1"	"KP265939.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"BAO79439.1"	"AB926431"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"BAQ02518.1"	"LC012596"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AJP18054.1"	"KM210086.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AKF43458.1"	"KP735848.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AKZ20823.1"	"KP862821.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AOT73359.1"	"KX812714"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"APZ75411.1"	"KY503030.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"ASC49561.1"	"MF370080.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AEA41876.1"	"JF703135"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AQY45923.1"	"KY654092.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"ATJ25942.1"	"MG183694.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AWI33311.1"	"MH243357.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AWU66462.1"	"MH450214.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AWU66463.1"	"MH450215.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AYF56302.1"	"MH986670.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AYP70146.1"	"MK105832.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"QAT97614.1"	"MK425035.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"QFZ95817.1"	"MN624980.1"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AFK80349.1"	"JQ734687"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AFB82585.1"	"JQ348841"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam;penem"	"antibiotic inactivation"
"AEN03071.1"	"JN104597"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AEX08599.1"	"JN967644"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AFQ31613.1"	"JX262694"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"BAM84089.1"	"AB744718"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AGU91756.1"	"KC999080"	"NDM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"N/A"	"CP020418"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"N/A"	"NR_103957"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"KAE9504908.1"	"WHPL01000002"	"sulfonamide resistant dihydropteroate synthase folP"	"N/A"	"antibiotic target alteration"
"AAW89357.1"	"AE004969.1"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"WP_050171206"	"NZ_CQOZ01000008.1"	"Zoliflodacin resistant gyrB"	"Zoliflodacin"	"antibiotic target alteration"
"QIH19826.1"	"CP043871.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"macrolide antibiotic;penam"	"antibiotic efflux"
"ACF30254.1"	"KI391932.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"macrolide antibiotic"	"antibiotic efflux"
"AAW89918.1"	"AE004969.1"	"fluoroquinolone resistant parC"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"AAB52541.1"	"U80933.1"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"penam"	"antibiotic target alteration"
"AAA25463.1"	"M32091.1"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"cephamycin"	"antibiotic target alteration"
"VEG60537.1"	"LR134358"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"N/A"	"antibiotic target alteration"
"AAB57788.1"	"U75641"	"General Bacterial Porin with reduced permeability to beta-lactams"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;tetracycline antibiotic"	"reduced permeability to antibiotic"
"YP_208871"	"AE004969"	"50S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"N/A"	"NC_003112"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"AAF40852.1"	"AE002098.2"	"Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics"	"N/A"	"antibiotic target alteration"
"CAA79967.1"	"Z21956"	"NmcA beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"CAA79966.1"	"Z21956.1"	"NmcA beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AAS68233.1"	"AY566250"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"acridine dye;fluoroquinolone antibiotic"	"antibiotic efflux"
"CCQ22388.1"	"HE999704.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"fluoroquinolone antibiotic"	"antibiotic efflux"
"AAF67494.2"	"AF170880"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"aminocoumarin antibiotic"	"antibiotic efflux"
"BAF80809.1"	"AB261016"	"16S rRNA methyltransferase (A1408)"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"AAK14791"	"AY027589"	"NPS beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAC04522.1"	"AJ401618"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC17622.1"	"AJ295340"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC17623.1"	"AJ295341"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC17624.1"	"AJ295342"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC17625.1"	"AJ295343"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC17626.1"	"AJ295344"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAC17627.1"	"AJ295345"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"ABF50909.1"	"DQ489307"	"OCH beta-lactamase"	"cephalosporin;cephamycin;monobactam;penam;penem"	"antibiotic inactivation"
"CAG25812.2"	"AJ635401"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19608.1"	"AM051149"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12353.2"	"AM850915"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12354.2"	"AM850916"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"ACL68096.1"	"FJ534513"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"ACL68095.1"	"FJ534512"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"ACN65419.1"	"FJ755841"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"ACN65418.1"	"FJ755840"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAG25815.2"	"AJ635404"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19599.1"	"AM051140"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19601.1"	"AM051142"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19602.1"	"AM051143"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19603.1"	"AM051144"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19605.1"	"AM051146"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19606.1"	"AM051147"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19607.1"	"AM051148"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAG25813.2"	"AJ635402"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19619.1"	"AM051160"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19620.1"	"AM051161"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAG25831.1"	"AJ635420"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"AAV80715.1"	"AY825330"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12357.2"	"AM850919"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12358.1"	"AM850920"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12359.2"	"AM850921"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19610.1"	"AM051151"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12360.2"	"AM850922"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19611.1"	"AM051152"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19612.1"	"AM051153"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12356.2"	"AM850918"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAP12355.2"	"AM850917"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19615.1"	"AM051156"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19616.1"	"AM051157"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"CAJ19618.1"	"AM051159"	"OKP beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"AAA50325.1"	"L36601"	"ABC-F ATP-binding cassette ribosomal protection protein"	"lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic"	"antibiotic target protection"
"AAA26793"	"L06249"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"macrolide antibiotic"	"antibiotic efflux"
"ABA42119.2"	"DQ195536.2"	"ole glycosyltransferase"	"macrolide antibiotic"	"antibiotic inactivation"
"ABA42118.2"	"DQ195535"	"ole glycosyltransferase"	"macrolide antibiotic"	"antibiotic inactivation"
"CDO13836.1"	"FO834906.1"	"General Bacterial Porin with reduced permeability to beta-lactams"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem"	"reduced permeability to antibiotic"
"AAC43969.1"	"U38944.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;fluoroquinolone antibiotic"	"antibiotic efflux"
"AAG05913.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic"	"antibiotic efflux"
"AAG07595.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"BAE06009.1"	"AB219524.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"acridine dye;carbapenem;diaminopyrimidine antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAG08359.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"triclosan"	"antibiotic efflux"
"BAM10414.1"	"AB639410"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;carbapenem;fluoroquinolone antibiotic;macrolide antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAB41958.1"	"U57969"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAG03816.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"acridine dye;aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAG05883.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic"	"antibiotic efflux"
"EGP45230"	"AFRQ01000061.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic"	"antibiotic efflux"
"AKA86814"	"KP399637"	"ABC-F ATP-binding cassette ribosomal protection protein"	"lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic"	"antibiotic target protection"
"AAP43109.1"	"EU370913.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAP43110.2"	"EU370913.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"diaminopyrimidine antibiotic;fluoroquinolone antibiotic;glycylcycline;nitrofuran antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"CAA37477.1"	"X53401"	"tetracycline-resistant ribosomal protection protein"	"tetracycline antibiotic"	"antibiotic target protection"
"AAD04032.1"	"AF079900"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AAR96051.1"	"AY509111"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"tetracycline antibiotic"	"antibiotic efflux"
"AFB82783.1"	"JN420336.1"	"OXA beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
