,input_file_name,gene_symbol,gene_name,reference_database_id,reference_database_version,reference_accession,analysis_software_name,analysis_software_version,sequence_identity,input_sequence_id,input_protein_start,input_protein_stop,input_gene_start,input_gene_stop,reference_protein_start,reference_protein_stop,reference_gene_start,reference_gene_stop,strand_orientation,coverage_depth,coverage_percentage,coverage_ratio,reference_gene_length,reference_protein_length,input_gene_length,input_protein_length,drug_class,antimicrobial_agent,resistance_mechanism,AMR Gene Family,Drug Class,Resistance Mechanism,accession_source,accession,drug_class_card,drug_class_ham,True_Positive,drugclass_new,true_positive
707,rgi_report,MexD,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000801,rgi,rgi_v1,95.43,NODE_19_length_257972_cov_63.647231_230,,,247705.0,250836.0,,,,,-,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,macrolide,true_positive
707,rgi_report,MexD,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000801,rgi,rgi_v1,95.43,NODE_19_length_257972_cov_63.647231_230,,,247705.0,250836.0,,,,,-,,100.0,,,,,,penam,,antibiotic efflux,,,,,,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,betalactam,true_positive
707,rgi_report,MexD,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000801,rgi,rgi_v1,95.43,NODE_19_length_257972_cov_63.647231_230,,,247705.0,250836.0,,,,,-,,100.0,,,,,,phenicolantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,phenicol,true_positive
707,rgi_report,MexD,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000801,rgi,rgi_v1,95.43,NODE_19_length_257972_cov_63.647231_230,,,247705.0,250836.0,,,,,-,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,tetracycline,true_positive
708,rgi_report,MexE,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000803,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_258,,,275589.0,276833.0,,,,,-,,100.0,,,,,,fluoroquinoloneantibiotic,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,quinolone,true_positive
708,rgi_report,MexE,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000803,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_258,,,275589.0,276833.0,,,,,-,,100.0,,,,,,diaminopyrimidineantibiotic,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,diaminopyrimidine,unknown
708,rgi_report,MexE,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000803,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_258,,,275589.0,276833.0,,,,,-,,100.0,,,,,,phenicolantibiotic,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,phenicol,true_positive
709,rgi_report,MexF,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000804,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_257,,,272379.0,275567.0,,,,,-,,100.0,,,,,,diaminopyrimidineantibiotic,,antibiotic efflux,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,diaminopyrimidine,unknown
709,rgi_report,MexF,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000804,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_257,,,272379.0,275567.0,,,,,-,,100.0,,,,,,fluoroquinoloneantibiotic,,antibiotic efflux,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,quinolone,true_positive
709,rgi_report,MexF,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000804,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_257,,,272379.0,275567.0,,,,,-,,100.0,,,,,,phenicolantibiotic,,antibiotic efflux,,,,,,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,False,phenicol,true_positive
710,rgi_report,MexG,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000806,rgi,rgi_v1,100.0,NODE_27_length_210538_cov_63.527487_7,,,8054.0,8500.0,,,,,-,,100.0,,,,,,fluoroquinoloneantibiotic,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,quinolone,true_positive
710,rgi_report,MexG,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000806,rgi,rgi_v1,100.0,NODE_27_length_210538_cov_63.527487_7,,,8054.0,8500.0,,,,,-,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,tetracycline,true_positive
710,rgi_report,MexG,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000806,rgi,rgi_v1,100.0,NODE_27_length_210538_cov_63.527487_7,,,8054.0,8500.0,,,,,-,,100.0,,,,,,acridinedye,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,acridine dye,unknown
711,rgi_report,MexH,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000807,rgi,rgi_v1,99.73,NODE_27_length_210538_cov_63.527487_6,,,6934.0,8046.0,,,,,-,,100.0,,,,,,fluoroquinoloneantibiotic,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,quinolone,true_positive
711,rgi_report,MexH,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000807,rgi,rgi_v1,99.73,NODE_27_length_210538_cov_63.527487_6,,,6934.0,8046.0,,,,,-,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,tetracycline,true_positive
711,rgi_report,MexH,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000807,rgi,rgi_v1,99.73,NODE_27_length_210538_cov_63.527487_6,,,6934.0,8046.0,,,,,-,,100.0,,,,,,acridinedye,,antibiotic efflux,,,,,,,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,acridine dye,unknown
712,rgi_report,MexI,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000808,rgi,rgi_v1,100.0,NODE_27_length_210538_cov_63.527487_5,,,3832.0,6921.0,,,,,-,,100.0,,,,,,acridinedye,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,acridine dye,unknown
712,rgi_report,MexI,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000808,rgi,rgi_v1,100.0,NODE_27_length_210538_cov_63.527487_5,,,3832.0,6921.0,,,,,-,,100.0,,,,,,fluoroquinoloneantibiotic,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,quinolone,true_positive
712,rgi_report,MexI,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3000808,rgi,rgi_v1,100.0,NODE_27_length_210538_cov_63.527487_5,,,3832.0,6921.0,,,,,-,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;tetracycline antibiotic,fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye,False,tetracycline,true_positive
713,rgi_report,MexJ,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003692,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_297,,,331663.0,332766.0,,,,,+,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; tetracycline antibiotic; triclosan,False,macrolide,true_positive
713,rgi_report,MexJ,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003692,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_297,,,331663.0,332766.0,,,,,+,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; tetracycline antibiotic; triclosan,False,tetracycline,true_positive
713,rgi_report,MexJ,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003692,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_297,,,331663.0,332766.0,,,,,+,,100.0,,,,,,triclosan,,antibiotic efflux,,,,,,,macrolide antibiotic; tetracycline antibiotic; triclosan,False,triclosan,unknown
714,rgi_report,MexK,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003693,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_298,,,332771.0,335848.0,,,,,+,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,macrolide antibiotic;tetracycline antibiotic;triclosan,macrolide antibiotic; tetracycline antibiotic; triclosan,False,macrolide,true_positive
714,rgi_report,MexK,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003693,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_298,,,332771.0,335848.0,,,,,+,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,macrolide antibiotic;tetracycline antibiotic;triclosan,macrolide antibiotic; tetracycline antibiotic; triclosan,False,tetracycline,true_positive
714,rgi_report,MexK,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003693,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_298,,,332771.0,335848.0,,,,,+,,100.0,,,,,,triclosan,,antibiotic efflux,,,,,,macrolide antibiotic;tetracycline antibiotic;triclosan,macrolide antibiotic; tetracycline antibiotic; triclosan,False,triclosan,unknown
715,rgi_report,MexL,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003710,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_296,,,330929.0,331567.0,,,,,-,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; tetracycline antibiotic; triclosan,False,macrolide,true_positive
715,rgi_report,MexL,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003710,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_296,,,330929.0,331567.0,,,,,-,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; tetracycline antibiotic; triclosan,False,tetracycline,true_positive
715,rgi_report,MexL,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003710,rgi,rgi_v1,100.0,NODE_2_length_643018_cov_63.434838_296,,,330929.0,331567.0,,,,,-,,100.0,,,,,,triclosan,,antibiotic efflux,,,,,,,macrolide antibiotic; tetracycline antibiotic; triclosan,False,triclosan,unknown
716,rgi_report,MexV,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003030,rgi,rgi_v1,99.2,NODE_85_length_121729_cov_64.583222_96,,,109697.0,110827.0,,,,,+,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,macrolide,true_positive
716,rgi_report,MexV,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003030,rgi,rgi_v1,99.2,NODE_85_length_121729_cov_64.583222_96,,,109697.0,110827.0,,,,,+,,100.0,,,,,,fluoroquinoloneantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,quinolone,true_positive
716,rgi_report,MexV,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003030,rgi,rgi_v1,99.2,NODE_85_length_121729_cov_64.583222_96,,,109697.0,110827.0,,,,,+,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,tetracycline,true_positive
716,rgi_report,MexV,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003030,rgi,rgi_v1,99.2,NODE_85_length_121729_cov_64.583222_96,,,109697.0,110827.0,,,,,+,,100.0,,,,,,acridinedye,,antibiotic efflux,,,,,,,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,acridine dye,unknown
716,rgi_report,MexV,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003030,rgi,rgi_v1,99.2,NODE_85_length_121729_cov_64.583222_96,,,109697.0,110827.0,,,,,+,,100.0,,,,,,phenicolantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,phenicol,true_positive
717,rgi_report,MexW,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003031,rgi,rgi_v1,99.9,NODE_85_length_121729_cov_64.583222_97,,,110878.0,113934.0,,,,,+,,100.0,,,,,,acridinedye,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,acridine dye,unknown
717,rgi_report,MexW,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003031,rgi,rgi_v1,99.9,NODE_85_length_121729_cov_64.583222_97,,,110878.0,113934.0,,,,,+,,100.0,,,,,,fluoroquinoloneantibiotic,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,quinolone,true_positive
717,rgi_report,MexW,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003031,rgi,rgi_v1,99.9,NODE_85_length_121729_cov_64.583222_97,,,110878.0,113934.0,,,,,+,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,macrolide,true_positive
717,rgi_report,MexW,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003031,rgi,rgi_v1,99.9,NODE_85_length_121729_cov_64.583222_97,,,110878.0,113934.0,,,,,+,,100.0,,,,,,phenicolantibiotic,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,phenicol,true_positive
717,rgi_report,MexW,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3003031,rgi,rgi_v1,99.9,NODE_85_length_121729_cov_64.583222_97,,,110878.0,113934.0,,,,,+,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,acridine dye;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic,False,tetracycline,true_positive
718,rgi_report,MuxA,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004073,rgi,rgi_v1,99.53,NODE_14_length_307150_cov_63.665045_222,,,230284.0,231564.0,,,,,+,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,macrolide,true_positive
718,rgi_report,MuxA,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004073,rgi,rgi_v1,99.53,NODE_14_length_307150_cov_63.665045_222,,,230284.0,231564.0,,,,,+,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,tetracycline,true_positive
718,rgi_report,MuxA,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004073,rgi,rgi_v1,99.53,NODE_14_length_307150_cov_63.665045_222,,,230284.0,231564.0,,,,,+,,100.0,,,,,,aminocoumarinantibiotic,,antibiotic efflux,,,,,,,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,aminoglycoside,true_positive
719,rgi_report,MuxB,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004074,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_223,,,231561.0,234692.0,,,,,+,,100.0,,,,,,aminocoumarinantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,aminoglycoside,true_positive
719,rgi_report,MuxB,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004074,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_223,,,231561.0,234692.0,,,,,+,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,macrolide,true_positive
719,rgi_report,MuxB,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004074,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_223,,,231561.0,234692.0,,,,,+,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,tetracycline,true_positive
720,rgi_report,MuxC,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004075,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_224,,,234689.0,237799.0,,,,,+,,100.0,,,,,,aminocoumarinantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,aminoglycoside,true_positive
720,rgi_report,MuxC,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004075,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_224,,,234689.0,237799.0,,,,,+,,100.0,,,,,,macrolideantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,macrolide,true_positive
720,rgi_report,MuxC,resistance-nodulation-cell division (RND) antibiotic efflux pump,CARD,card_v1,3004075,rgi,rgi_v1,100.0,NODE_14_length_307150_cov_63.665045_224,,,234689.0,237799.0,,,,,+,,100.0,,,,,,tetracyclineantibiotic,,antibiotic efflux,,,,,,aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,False,tetracycline,true_positive
721,rgi_report,NDM-4,NDM beta-lactamase,CARD,card_v1,3002355,rgi,rgi_v1,100.0,NODE_765_length_3143_cov_128.069301_5,,,2135.0,2947.0,,,,,-,,100.0,,,,,,carbapenem,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,carbapenem; cephalosporin; cephamycin; penam; penem,False,carbapenem,unknown
721,rgi_report,NDM-4,NDM beta-lactamase,CARD,card_v1,3002355,rgi,rgi_v1,100.0,NODE_765_length_3143_cov_128.069301_5,,,2135.0,2947.0,,,,,-,,100.0,,,,,,cephalosporin,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,carbapenem; cephalosporin; cephamycin; penam; penem,False,cephalosporin,true_positive
721,rgi_report,NDM-4,NDM beta-lactamase,CARD,card_v1,3002355,rgi,rgi_v1,100.0,NODE_765_length_3143_cov_128.069301_5,,,2135.0,2947.0,,,,,-,,100.0,,,,,,cephamycin,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,carbapenem; cephalosporin; cephamycin; penam; penem,False,cephamycin,unknown
721,rgi_report,NDM-4,NDM beta-lactamase,CARD,card_v1,3002355,rgi,rgi_v1,100.0,NODE_765_length_3143_cov_128.069301_5,,,2135.0,2947.0,,,,,-,,100.0,,,,,,penam,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,carbapenem; cephalosporin; cephamycin; penam; penem,False,betalactam,true_positive
721,rgi_report,NDM-4,NDM beta-lactamase,CARD,card_v1,3002355,rgi,rgi_v1,100.0,NODE_765_length_3143_cov_128.069301_5,,,2135.0,2947.0,,,,,-,,100.0,,,,,,penem,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;cephamycin;penam;penem,carbapenem; cephalosporin; cephamycin; penam; penem,False,carbapenem,unknown
722,rgi_report,OXA-1,OXA beta-lactamase,CARD,card_v1,3001396,rgi,rgi_v1,100.0,NODE_933_length_1586_cov_126.278903_2,,,633.0,1463.0,,,,,-,,100.0,,,,,,carbapenem,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,carbapenem,unknown
722,rgi_report,OXA-1,OXA beta-lactamase,CARD,card_v1,3001396,rgi,rgi_v1,100.0,NODE_933_length_1586_cov_126.278903_2,,,633.0,1463.0,,,,,-,,100.0,,,,,,cephalosporin,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,cephalosporin,true_positive
722,rgi_report,OXA-1,OXA beta-lactamase,CARD,card_v1,3001396,rgi,rgi_v1,100.0,NODE_933_length_1586_cov_126.278903_2,,,633.0,1463.0,,,,,-,,100.0,,,,,,penam,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,betalactam,true_positive
723,rgi_report,OXA-48,OXA beta-lactamase,CARD,card_v1,3001782,rgi,rgi_v1,100.0,NODE_853_length_2231_cov_59.943570_3,,,1409.0,2206.0,,,,,-,,100.0,,,,,,carbapenem,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,carbapenem,unknown
723,rgi_report,OXA-48,OXA beta-lactamase,CARD,card_v1,3001782,rgi,rgi_v1,100.0,NODE_853_length_2231_cov_59.943570_3,,,1409.0,2206.0,,,,,-,,100.0,,,,,,cephalosporin,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,cephalosporin,true_positive
723,rgi_report,OXA-48,OXA beta-lactamase,CARD,card_v1,3001782,rgi,rgi_v1,100.0,NODE_853_length_2231_cov_59.943570_3,,,1409.0,2206.0,,,,,-,,100.0,,,,,,penam,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,betalactam,true_positive
724,rgi_report,OXA-50,OXA beta-lactamase,CARD,card_v1,3001796,rgi,rgi_v1,99.24,NODE_18_length_269003_cov_63.427332_100,,,112385.0,113173.0,,,,,+,,100.0,,,,,,cephalosporin,,antibiotic inactivation,,,,,,,cephalosporin; penam,False,cephalosporin,true_positive
724,rgi_report,OXA-50,OXA beta-lactamase,CARD,card_v1,3001796,rgi,rgi_v1,99.24,NODE_18_length_269003_cov_63.427332_100,,,112385.0,113173.0,,,,,+,,100.0,,,,,,penam,,antibiotic inactivation,,,,,,,cephalosporin; penam,False,betalactam,true_positive
725,rgi_report,OXA-66,OXA beta-lactamase,CARD,card_v1,3001615,rgi,rgi_v1,100.0,NODE_25_length_221718_cov_63.330551_63,,,65086.0,65910.0,,,,,-,,100.0,,,,,,carbapenem,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,carbapenem,unknown
725,rgi_report,OXA-66,OXA beta-lactamase,CARD,card_v1,3001615,rgi,rgi_v1,100.0,NODE_25_length_221718_cov_63.330551_63,,,65086.0,65910.0,,,,,-,,100.0,,,,,,cephalosporin,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,cephalosporin,true_positive
725,rgi_report,OXA-66,OXA beta-lactamase,CARD,card_v1,3001615,rgi,rgi_v1,100.0,NODE_25_length_221718_cov_63.330551_63,,,65086.0,65910.0,,,,,-,,100.0,,,,,,penam,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,betalactam,true_positive
726,rgi_report,OXA-72,OXA beta-lactamase,CARD,card_v1,3001705,rgi,rgi_v1,100.0,NODE_1058_length_942_cov_64.217587_1,,,31.0,858.0,,,,,-,,100.0,,,,,,carbapenem,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,carbapenem,unknown
726,rgi_report,OXA-72,OXA beta-lactamase,CARD,card_v1,3001705,rgi,rgi_v1,100.0,NODE_1058_length_942_cov_64.217587_1,,,31.0,858.0,,,,,-,,100.0,,,,,,cephalosporin,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,cephalosporin,true_positive
726,rgi_report,OXA-72,OXA beta-lactamase,CARD,card_v1,3001705,rgi,rgi_v1,100.0,NODE_1058_length_942_cov_64.217587_1,,,31.0,858.0,,,,,-,,100.0,,,,,,penam,,antibiotic inactivation,,,,,,carbapenem;cephalosporin;penam,cephalosporin; penam,False,betalactam,true_positive
